"Combination","Character","SuggestedWords","DictionaryWordCount","ReviewStatus","SourceUrl"
"˙ㄅㄚ","吧","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%CB%99%E3%84%85%E3%84%9A&word=%E5%90%A7"
"˙ㄅㄚ","罷","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%CB%99%E3%84%85%E3%84%9A&word=%E7%BD%B7"
"˙ㄇㄚ","嗎","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%CB%99%E3%84%87%E3%84%9A&word=%E5%97%8E"
"˙ㄇㄚ","嘛","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%CB%99%E3%84%87%E3%84%9A&word=%E5%98%9B"
"˙ㄇㄜ","麼","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%CB%99%E3%84%87%E3%84%9C&word=%E9%BA%BC"
"˙ㄇㄣ","們","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%CB%99%E3%84%87%E3%84%A3&word=%E5%80%91"
"˙ㄉㄜ","地","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%CB%99%E3%84%89%E3%84%9C&word=%E5%9C%B0"
"˙ㄉㄜ","底","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%CB%99%E3%84%89%E3%84%9C&word=%E5%BA%95"
"˙ㄉㄜ","的","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%CB%99%E3%84%89%E3%84%9C&word=%E7%9A%84"
"˙ㄉㄜ","得","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%CB%99%E3%84%89%E3%84%9C&word=%E5%BE%97"
"˙ㄊㄡ","頭","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%CB%99%E3%84%8A%E3%84%A1&word=%E9%A0%AD"
"˙ㄋㄚ","哪","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%CB%99%E3%84%8B%E3%84%9A&word=%E5%93%AA"
"˙ㄋㄜ","呢","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%CB%99%E3%84%8B%E3%84%9C&word=%E5%91%A2"
"˙ㄌㄚ","啦","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%CB%99%E3%84%8C%E3%84%9A&word=%E5%95%A6"
"˙ㄌㄛ","咯","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%CB%99%E3%84%8C%E3%84%9B&word=%E5%92%AF"
"˙ㄌㄜ","了","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%CB%99%E3%84%8C%E3%84%9C&word=%E4%BA%86"
"˙ㄌㄧ","哩","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%CB%99%E3%84%8C%E3%84%A7&word=%E5%93%A9"
"˙ㄏㄨㄛ","午","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%CB%99%E3%84%8F%E3%84%A8%E3%84%9B&word=%E5%8D%88"
"˙ㄏㄨㄛ","和","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%CB%99%E3%84%8F%E3%84%A8%E3%84%9B&word=%E5%92%8C"
"˙ㄓㄜ","著","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%CB%99%E3%84%93%E3%84%9C&word=%E8%91%97"
"˙ㄕ","匙","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%CB%99%E3%84%95&word=%E5%8C%99"
"˙ㄕㄤ","裳","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%CB%99%E3%84%95%E3%84%A4&word=%E8%A3%B3"
"˙ㄗ","子","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%97&SN2=%CB%99%E3%84%97&word=%E5%AD%90"
"˙ㄚ","啊","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%9A&SN2=%CB%99%E3%84%9A&word=%E5%95%8A"
"˙ㄣ","嗯","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A3&SN2=%CB%99%E3%84%A3&word=%E5%97%AF"
"˙ㄧㄚ","呀","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%CB%99%E3%84%A7%E3%84%9A&word=%E5%91%80"
"˙ㄧㄝ","吔","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%CB%99%E3%84%A7%E3%84%9D&word=%E5%90%94"
"˙ㄨㄚ","哇","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%CB%99%E3%84%A8%E3%84%9A&word=%E5%93%87"
"ㄅㄚ","八","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A&word=%E5%85%AB"
